firstName,middleName,lastName,primaryContact,secondaryContact,emailAddress,gender,totalExperience,relevantExperience,lastCompany,candidateSource,onboardStatus,financialYear,marketOffering,subBusinessLine,competency,subCompetency
Artie,Aron,Rolf,26-4436469,,arolf0@is.gd,Male,10,14,"Autumn Harp, Inc.",Vendor,Offer Accepted,FY20 P2,National,PROD STAFF,MS&P CIS,ValueD
Janeta,Aldous,Cloutt,52-5975696,,acloutt1@tamu.edu,Female,22,19,"Antigen Laboratories, Inc.",PDAT,Current Orderboard,FY20 P4,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,PaCS
Reamonn,Granger,Haslen,21-3977002,,ghaslen2@jiathis.com,Male,4,18,"Triax Pharmaceuticals, LLC",CTH to FTE,Current Orderboard,FY20 P5,Forensic,PROD STAFF,MS&P CIS,AFES
Celina,Fonz,De Biasio,45-4986488,,fdebiasio3@who.int,Female,11,15,"Nelco Laboratories, Inc.",PDAT,Placed on Hold,FY20 P3,Risk Intelligence,PROD STAFF,MS&P CIS,PaCS
Gigi,Price,Kuhlmey,62-8626716,,pkuhlmey4@is.gd,Female,19,10,Teva Pharmaceuticals USA Inc,Internal Mobility,Placed on Hold,FY20 P3,Assurance & Internal Audit,PROD STAFF,MS&P CIS,PaCS
Patton,Jule,Pack,19-2879186,,jpack5@nba.com,Male,13,18,REMEDYREPACK INC.,PDAT,Placed on Hold,FY20 P1,National,PROD STAFF,MS&P CIS,PaCS
Michelle,Brenden,Cannell,29-3601134,,bcannell6@hp.com,Female,8,1,Mason Chemical Company,Vendor,Offer Accepted,FY20 P4,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,PaCS
Hanson,Laughton,Plaunch,39-6451178,,lplaunch7@hubpages.com,Male,24,6,Sam's West Inc,PDAT,Offer Accepted,FY20 P2,Risk Intelligence,PROD STAFF,MS&P CIS,AFES
Conrad,Harlin,Castelain,21-7579457,,hcastelain8@marketwatch.com,Male,17,25,Apotheca Company,PDAT,Offer Accepted,FY20 P2,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,PaCS
Adele,Pepillo,Barkaway,03-9857896,,pbarkaway9@sbwire.com,Female,9,19,"Life Line Home Care Services, Inc.",Vendor,Placed on Hold,FY20 P6,Risk Intelligence,PROD STAFF,MS&P CIS,PaCS
Ashli,Camey,Coolson,15-8945429,,ccoolsona@youtu.be,Female,23,24,Aurobindo Pharma Limited,PDAT,Placed on Hold,FY20 P6,Risk Intelligence,PROD STAFF,MS&P CIS,PaCS
Esta,Davidson,Frake,53-2365373,,dfrakeb@technorati.com,Female,22,1,Rebel Distributors Corp,CTH to FTE,Placed on Hold,FY20 P3,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,AFES
Ezekiel,Alejandro,Astill,04-8259659,,aastillc@accuweather.com,Male,14,5,ORGANIC & SUSTAINABLE BEAUTY,CTH to FTE,Offer Accepted,FY20 P6,Risk Intelligence,PROD STAFF,MS&P CIS,AFES
Roderic,Morie,Stonbridge,81-1437362,,mstonbridged@php.net,Male,19,12,"AvKARE, Inc.",PDAT,Joined,FY20 P2,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,AFES
