firstName,middleName,lastName,primaryContact,secondaryContact,emailAddress,gender,totalExperience,relevantExperience,lastCompany,candidateSource,onboardStatus,financialYear,marketOffering,subBusinessLine,competency,subCompetency,department,businessEntity,level
Artie,,,26-4436469,,arolf0@is.gd,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD,Quality Assurance,USI,Staff
Janeta,,,52-5975696,,acloutt1@tamu.edu,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD,Business Analyst,USI,Staff
Reamonn,,,21-3977002,,ghaslen2@jiathis.com,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD,Others,USI,Staff
Celina,,,45-4986488,,fdebiasio3@who.int,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD,Development,USI,Staff
Gigi,,,62-8626716,,pkuhlmey4@is.gd,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD,Development,USI,Staff
Patton,,,19-2879186,,jpack5@nba.com,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD,Development,USI,Staff
Michelle,,,29-3601134,,bcannell6@hp.com,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD,Development,USI,Staff
Hanson,,,39-6451178,,lplaunch7@hubpages.com,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD,Development,USI,Staff
Conrad,,,21-7579457,,hcastelain8@marketwatch.com,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD,Development,USI,Staff
Adele,,,03-9857896,,pbarkaway9@sbwire.com,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD,Development,USI,Staff
Ashli,,,15-8945429,,ccoolsona@youtu.be,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD,Development,USI,Staff
Esta,,,53-2365373,,dfrakeb@technorati.com,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD,Development,USI,Staff
Ezekiel,,,04-8259659,,aastillc@accuweather.com,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD,Development,USI,Staff
Roderic,,,81-1437362,,mstonbridged@php.net,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD,Development,USI,Staff
Sigismund,,,04-0200192,,hbeldersone@latimes.com,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD,Development,USI,Staff
Alta,,,10-9279573,,nfairburnef@amazon.co.jp,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD,Development,USI,Staff
Melantha,,,41-0930686,,dluckhamg@nba.com,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD,Development,USI,Staff
Dukie,,,75-0710809,,rpealingh@nytimes.com,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD,Development,USI,Staff
Trevar,,,82-2103146,,zclymai@woothemes.com,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD,Development,USI,Staff
Fina,,,98-8486113,,lbuzzingj@nature.com,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD,Development,USI,Staff
Gavrielle,,,81-7140677,,ehewk@example.com,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD,Development,USI,Staff
Alwyn,,,34-9704258,,lrowatl@xing.com,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD,Development,USI,Staff
Hakim,,,23-7579314,,csparwellm@ox.ac.uk,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD,Development,USI,Staff
Rick,,,44-3089179,,bspaulen@google.com.hk,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,ValueD,Development,USI,Staff
Irving,,,83-9361843,,csimonyo@myspace.com,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Decipher,Development,USI,Staff
Elvyn,,,33-5121519,,cferenczp@ca.gov,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Decipher,Development,USI,Staff
Lucien,,,38-6702687,,nbowtonq@ihg.com,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Decipher,Development,USI,Staff
Blinny,,,69-4890324,,mairetonr@nifty.com,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Decipher,Quality Assurance,USI,Staff
Laura,,,77-3370028,,drosells@mtv.com,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Decipher,Business Analyst,USI,Staff
Amandie,,,50-3361311,,amadgewickt@surveymonkey.com,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Decipher,Quality Assurance,US,Staff
Roy,,,49-5886847,,hstollwerku@tiny.cc,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Decipher,Business Analyst,US,Staff
Wait,,,31-5554609,,jeastamv@blinklist.com,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Decipher,Others,Others,Staff
Alasdair,,,82-6684039,,hmattingsonw@washingtonpost.com,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Decipher,Others,Others,Staff
Earvin,,,92-5567749,,kfriskeyx@twitpic.com,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Decipher,Others,Others,Staff
Cassaundra,,,63-9514674,,agourlayy@gmpg.org,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Decipher,Others,Others,Staff
Ferdinanda,,,86-5850071,,hmulqueenyz@mit.edu,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Decipher,Others,Others,Staff
Ottilie,,,07-5474473,,rkeilty10@wisc.edu,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Decipher,Others,Others,Staff
Zaneta,,,69-0830853,,tmatthew11@prweb.com,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Decipher,Others,Others,Staff
Audre,,,25-1627355,,cbrunon12@boston.com,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Dera,Quality Assurance,USI,Staff
Peggie,,,80-6649498,,hwadhams13@wordpress.com,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Dera,Quality Assurance,USI,Staff
Malena,,,29-9108122,,datrill14@blogtalkradio.com,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Dera,Development,USI,Staff
Trenna,,,39-7077657,,dmaxted15@sciencedirect.com,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Dera,Development,USI,Staff
Ody,,,81-2575554,,nmoncur16@sbwire.com,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Dera,Development,USI,Staff
Demetre,,,20-4992451,,salen17@webs.com,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Dera,Development,USI,Staff
Marney,,,57-1559694,,cmccadden18@ebay.co.uk,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Dera,Development,USI,Staff
Shena,,,71-6125777,,igummary19@slashdot.org,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Dera,Development,USI,Staff
Jim,,,99-4976433,,iholme1a@ihg.com,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Dera,Development,USI,Staff
Myron,,,83-3206361,,msille1b@ucoz.com,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Dera,Development,USI,Staff
Rivi,,,82-0249676,,bweatherall1c@nationalgeographic.com,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Dera,Development,USI,Staff
Belicia,,,83-4393829,,dmaplestone1d@nifty.com,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Dera,Development,USI,Staff
Luis,,,25-2986622,,dstraine1e@nbcnews.com,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Dera,Development,USI,Staff
Sheree,,,58-7696593,,ffreddi1f@businessinsider.com,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Dera,Development,USI,Staff
Kelsey,,,90-3485243,,ginsworth1g@yolasite.com,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Dera,Development,USI,Staff
Norris,,,55-0639165,,tweine1h@delicious.com,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Dera,Development,USI,Staff
Cherise,,,30-3495270,,tlilford1i@usgs.gov,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Dera,Development,USI,Staff
Jerrome,,,29-0488769,,gjerrome1j@pinterest.com,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Dera,Others,US,Staff
Ignacius,,,98-9722280,,bsturte1k@histats.com,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Dera,Others,US,Staff
Orel,,,88-3354393,,ihandasyde1l@google.co.uk,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Dera,Others,US,Staff
Nixie,,,22-4472626,,cgon1m@patch.com,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Dera,Others,US,Staff
Nicol,,,76-9335434,,evoice1n@domainmarket.com,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P,Dera,Others,US,Staff
Nickolaus,,,37-3800044,,hcecely1o@marriott.com,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,Chargebacks,Quality Assurance,USI,Staff
Alonzo,,,26-6779317,,mnormant1p@people.com.cn,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,Chargebacks,Development,USI,Staff
Tomaso,,,23-3630334,,ealexis1q@unc.edu,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,Chargebacks,Development,USI,Staff
Giles,,,11-1775469,,aormistone1r@4shared.com,Male,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,Chargebacks,Development,USI,Staff
Darrelle,,,69-1590444,,pulster1s@ebay.co.uk,Female,0,0,,Net Sourcing,Joined,FY14 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,Chargebacks,Development,USI,Staff
