firstName,middleName,lastName,primaryContact,secondaryContact,emailAddress,gender,totalExperience,relevantExperience,lastCompany,candidateSource,onboardStatus,financialYear,marketOffering,marketSubBusinessLine,competency,subCompetency
Zachary,Prissie,Limprecht,899-40-7641,892-32-9928,plimprecht0@nature.com,Male,16,6,Goldenrod,Net Sourcing,Joined,FY20 P1,Risk Intelligence,PROD STAFF,Securitization,Financial Technology
Dode,Christal,Stainbridge,720-99-1750,728-53-0071,cstainbridge1@mail.ru,Female,10,17,Crimson,PDAT,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,Securitization,Financial Technology
Malinda,Wileen,Westberg,289-01-4738,380-70-7491,wwestberg2@123-reg.co.uk,Female,10,12,Aquamarine,CTH to FTE,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,AFES
Kimberlyn,Ellissa,Riddett,708-92-1574,716-53-8716,eriddett3@google.fr,Female,5,19,Teal,CTH to FTE,Joined,FY20 P1,Risk Intelligence,PROD STAFF,MS&P,QSpace
Elias,Winona,Crew,529-19-0606,551-10-1394,wcrew4@gov.uk,Male,15,2,Green,Net Sourcing,Joined,FY20 P1,National,PROD STAFF,Securitization,Financial Technology
Leonore,Evelina,McSporon,522-56-6743,165-96-0754,emcsporon5@cbsnews.com,Female,13,18,Indigo,Vendor,Joined,FY20 P1,Assurance & Internal Audit,PROD STAFF,MS&P,QSpace
Sheryl,Lorianne,Dunsire,166-98-8334,393-93-6786,ldunsire6@ucsd.edu,Female,16,5,Red,Referral,Joined,FY20 P1,National,PROD STAFF,MS&P LRA,TrueView
Aeriela,Aurel,Simoni,530-71-9776,403-08-5857,asimoni7@globo.com,Female,6,2,Teal,CTH to FTE,Joined,FY20 P1,Forensic,PROD STAFF,MS&P CIS,AFES
Nico,Druci,Corradi,712-45-6583,511-97-0513,dcorradi8@nature.com,Male,5,1,Yellow,Net Sourcing,Joined,FY20 P1,Assurance & Internal Audit,PROD STAFF,Securitization,Financial Technology
Niels,Julianna,Cosson,292-67-9291,418-57-6798,jcosson9@chron.com,Male,15,10,Crimson,Vendor,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P ACTT,Prod Staff
Urban,Claudetta,Hyam,180-57-5932,659-76-3112,chyama@cnet.com,Male,20,16,Pink,Net Sourcing,Joined,FY20 P1,Risk Intelligence,PROD STAFF,MS&P CIS,AFES
Camala,Debi,Potteril,205-75-8489,513-09-6427,dpotterilb@rambler.ru,Female,13,19,Violet,PDAT,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P,QSpace
Hetty,Una,Elcoate,196-07-8924,346-95-6622,uelcoatec@princeton.edu,Female,7,20,Pink,Net Sourcing,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,D3,SQL DBA
Aeriell,Clair,Harwin,355-92-0707,228-55-1370,charwind@goo.gl,Female,2,3,Crimson,Referral,Joined,FY20 P1,Forensic,PROD STAFF,MS&P CIS,AFES
Peyton,Gates,McGlynn,310-62-9496,556-11-6037,gmcglynne@cpanel.net,Male,6,2,Violet,PDAT,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,Securitization,Financial Technology
Coriss,Enrichetta,Chestnut,133-34-2078,890-93-4948,echestnutf@sciencedirect.com,Female,8,20,Blue,PDAT,Joined,FY20 P1,Forensic,PROD STAFF,MS&P,QSpace
Sandye,Denice,Faires,878-70-5975,695-63-4445,dfairesg@histats.com,Female,18,18,Crimson,Vendor,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,D3,SQL DBA
Karita,Devon,Oatley,790-12-2629,530-57-1304,doatleyh@hhs.gov,Female,11,17,Blue,Internal Mobility,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,Securitization,Financial Technology
Rhodia,Glynda,Pattesall,189-97-3575,707-74-4184,gpattesalli@ucoz.com,Female,14,20,Fuscia,Internal Mobility,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P,QSpace
Leanor,Mair,Rush,649-46-0096,886-52-7626,mrushj@google.fr,Female,15,6,Green,CTH to FTE,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,D3,SQL DBA
Wash,Sofie,Leggett,423-51-3811,746-94-2932,sleggettk@marketwatch.com,Male,14,11,Aquamarine,Internal Mobility,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,AFES
Dell,Carlene,Le Barr,448-27-9933,405-78-0284,clebarrl@bbb.org,Male,4,1,Mauv,PDAT,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,AFES
Ana,Delores,Dowrey,403-75-8306,552-03-6699,ddowreym@tripod.com,Female,16,12,Red,Referral,Joined,FY20 P1,Assurance & Internal Audit,PROD STAFF,MS&P LRA,TrueView
Sanford,Staci,Lucio,613-75-2852,483-56-0698,slucion@eventbrite.com,Male,16,2,Maroon,Vendor,Joined,FY20 P1,Assurance & Internal Audit,PROD STAFF,Controllership,Accounting Technology
Harwilll,Aigneis,Grishaev,857-08-1284,463-70-5363,agrishaevo@icio.us,Male,20,19,Violet,Referral,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P,QSpace
Cletus,Viki,Echalier,555-76-5050,611-47-8395,vechalierp@nsw.gov.au,Male,9,4,Violet,CTH to FTE,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P,QSpace
Ian,Melva,Hamlington,441-58-8930,276-10-3371,mhamlingtonq@discovery.com,Male,20,19,Aquamarine,Net Sourcing,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P ACTT,Prod Staff
Jon,Dedie,Gibard,642-04-3028,649-63-2063,dgibardr@mysql.com,Male,18,14,Fuscia,PDAT,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P LRA,TrueView
Quintina,Nertie,Bernardeschi,271-15-5881,181-59-9120,nbernardeschis@com.com,Female,2,11,Mauv,PDAT,Joined,FY20 P4,Forensic,PROD STAFF,MS&P,QSpace
Stormi,Robbin,Darnell,298-98-7144,818-04-8087,rdarnellt@parallels.com,Female,8,6,Purple,Net Sourcing,Joined,FY20 P4,Regulatory & Operational Risk,PROD STAFF,D3,SQL DBA
Antonie,Elaina,MacGillivray,458-73-4385,340-77-9130,emacgillivrayu@symantec.com,Female,5,19,Pink,Referral,Joined,FY20 P4,Regulatory & Operational Risk,PROD STAFF,MS&P LRA,TrueView
Fifi,Linnell,Lowcock,232-63-6453,866-32-0008,llowcockv@baidu.com,Female,20,11,Crimson,CTH to FTE,Joined,FY20 P4,Fin Risk Trans & Restructuring,PROD STAFF,MS&P CIS,AFES
Sashenka,Annmaria,Rennie,260-75-2785,396-93-6320,arenniew@last.fm,Female,7,8,Blue,CTH to FTE,Joined,FY20 P4,Forensic,PROD STAFF,MS&P,Decipher
Giacopo,Maudie,Wittering,452-31-3006,720-79-6287,mwitteringx@vk.com,Male,4,14,Teal,Net Sourcing,Joined,FY20 P4,Fin Risk Trans & Restructuring,PROD STAFF,D3,SQL DBA
Rock,Licha,Haughan,321-49-4842,554-14-6674,lhaughany@mapy.cz,Male,17,4,Purple,Vendor,Joined,FY20 P4,Risk Intelligence,PROD STAFF,MS&P ACTT,Prod Staff
Waylen,Opal,Saulter,177-52-4948,359-33-0423,osaulterz@sphinn.com,Male,3,7,Khaki,Referral,Joined,FY20 P4,Assurance & Internal Audit,PROD STAFF,MS&P ACTT,Prod Staff
Bevin,Clementina,Targetter,376-73-4788,251-48-9848,ctargetter10@ovh.net,Male,2,13,Orange,Vendor,Joined,FY20 P4,National,PROD STAFF,Securitization,Financial Technology
Dilan,Kerianne,Hutchings,520-34-7844,487-05-9706,khutchings11@e-recht24.de,Male,3,8,Goldenrod,PDAT,Joined,FY20 P4,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,AFES
Zachery,Suzie,Wager,667-52-5297,205-04-6426,swager12@patch.com,Male,1,10,Fuscia,PDAT,Joined,FY20 P4,National,PROD STAFF,MS&P LRA,TrueView
Selma,Staci,Hogbourne,131-88-3685,873-50-3548,shogbourne13@cargocollective.com,Female,2,8,Crimson,Vendor,Joined,FY20 P4,Regulatory & Operational Risk,PROD STAFF,Controllership,Accounting Technology
Abbye,Karry,Benton,574-61-7240,278-33-2004,kbenton14@sitemeter.com,Female,7,4,Khaki,CTH to FTE,Joined,FY20 P4,Assurance & Internal Audit,PROD STAFF,Securitization,Financial Technology
Darryl,Tracy,McFee,584-56-6680,448-46-5534,tmcfee15@springer.com,Female,7,5,Violet,Vendor,Joined,FY20 P4,Forensic,PROD STAFF,MS&P CIS,AFES
Mirelle,Lisa,Atherley,637-66-2950,384-90-4066,latherley16@java.com,Female,19,13,Violet,Internal Mobility,Joined,FY20 P4,Assurance & Internal Audit,PROD STAFF,MS&P LRA,TrueView
Granger,Nerty,Georgievski,406-36-9518,343-68-0514,ngeorgievski17@theatlantic.com,Male,10,7,Blue,CTH to FTE,Joined,FY20 P4,National,PROD STAFF,MS&P ACTT,Prod Staff
Pansy,Odele,Bridgstock,822-83-7555,754-54-7596,obridgstock18@csmonitor.com,Female,17,11,Puce,CTH to FTE,Joined,FY20 P4,Assurance & Internal Audit,PROD STAFF,Controllership,Accounting Technology
Wynny,Emilia,Biddulph,237-20-8322,371-89-7151,ebiddulph19@t-online.de,Female,19,19,Red,Internal Mobility,Joined,FY20 P4,Regulatory & Operational Risk,PROD STAFF,MS&P CIS,AFES
Eadith,Clea,Druhan,725-04-4657,270-48-9739,cdruhan1a@si.edu,Female,11,11,Teal,Net Sourcing,Joined,FY20 P4,Fin Risk Trans & Restructuring,PROD STAFF,D3,SQL DBA
Dniren,Regan,O'Grada,192-29-6202,178-47-1944,rograda1b@businessinsider.com,Female,12,6,Pink,Referral,Joined,FY20 P4,National,PROD STAFF,Controllership,Accounting Technology
Frank,Vivie,Sives,261-37-9316,740-46-2402,vsives1c@google.nl,Male,3,5,Goldenrod,Referral,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P LRA,TrueView
Ursuline,Audrye,Sauter,759-44-5628,727-82-7291,asauter1d@npr.org,Female,13,4,Red,CTH to FTE,Joined,FY20 P1,Forensic,PROD STAFF,MS&P,Decipher
Brittany,Adria,Hughson,545-26-7518,823-90-0114,ahughson1e@webnode.com,Female,19,16,Turquoise,CTH to FTE,Joined,FY20 P1,Fin Risk Trans & Restructuring,PROD STAFF,MS&P,Decipher
Findlay,Lizzy,Harman,657-27-4193,209-75-4451,lharman1f@statcounter.com,Male,10,3,Pink,CTH to FTE,Joined,FY20 P1,Forensic,PROD STAFF,MS&P CIS,AFES
Tammy,Gilberta,Ambler,469-20-6356,511-54-4272,gambler1g@comcast.net,Female,17,6,Indigo,PDAT,Joined,FY20 P1,Forensic,PROD STAFF,MS&P LRA,TrueView
Jarid,Bunny,Elgee,333-30-8844,866-51-5223,belgee1h@businesswire.com,Male,19,3,Maroon,Internal Mobility,Joined,FY20 P1,Forensic,PROD STAFF,Securitization,Financial Technology
Maryanne,Johnath,Withrington,422-84-2326,588-81-3995,jwithrington1i@china.com.cn,Female,7,20,Crimson,Internal Mobility,Joined,FY20 P1,Assurance & Internal Audit,PROD STAFF,MS&P ACTT,Prod Staff
Leandra,Sybil,Lankham,706-63-3188,278-89-0384,slankham1j@pinterest.com,Female,8,12,Goldenrod,Internal Mobility,Joined,FY20 P1,Risk Intelligence,PROD STAFF,Controllership,Accounting Technology
Wolf,Wileen,Spillett,619-81-5321,595-54-6628,wspillett1k@exblog.jp,Male,2,16,Teal,PDAT,Joined,FY20 P1,Forensic,PROD STAFF,MS&P ACTT,Prod Staff
Gav,Sheila-kathryn,Lighten,810-66-7658,615-51-9051,slighten1l@paginegialle.it,Male,12,12,Mauv,Vendor,Joined,FY20 P1,Risk Intelligence,PROD STAFF,Securitization,Financial Technology
Gery,Aurilia,Divall,868-11-9338,158-33-0805,adivall1m@istockphoto.com,Male,11,10,Indigo,PDAT,Joined,FY20 P1,National,PROD STAFF,D3,SQL DBA
Liva,Angelita,Hince,400-79-3351,343-18-5100,ahince1n@comcast.net,Female,6,14,Teal,Net Sourcing,Joined,FY20 P1,Risk Intelligence,PROD STAFF,D3,SQL DBA
Orin,Gelya,MacAdam,308-50-6579,534-57-6273,gmacadam1o@globo.com,Male,11,11,Mauv,CTH to FTE,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,D3,SQL DBA
Haydon,Rae,Brimming,365-25-2827,116-98-6185,rbrimming1p@wikia.com,Male,10,11,Orange,Net Sourcing,Joined,FY20 P1,Regulatory & Operational Risk,PROD STAFF,D3,SQL DBA
Cedric,Albertina,Roizn,567-04-2634,159-86-2416,aroizn1q@skyrock.com,Male,2,12,Mauv,PDAT,Joined,FY20 P1,Assurance & Internal Audit,PROD STAFF,MS&P LRA,TrueView
